iter	Logloss
0	0.5587242426
1	0.4658590305
2	0.400674922
3	0.3552859298
4	0.3223331848
5	0.3080671101
6	0.2892574933
7	0.2744580103
8	0.2655364139
9	0.2591946394
10	0.2497870553
11	0.2436006939
12	0.2375118098
13	0.2338870359
14	0.2306996539
15	0.2280882568
16	0.2252481462
17	0.2228606516
18	0.2204689105
19	0.2188379376
20	0.2171781173
21	0.2158456272
22	0.2145561213
23	0.2130693752
24	0.2119434654
25	0.2110301244
26	0.2094715462
27	0.2086464934
28	0.2078660577
29	0.206983296
30	0.2059210767
31	0.2052310647
32	0.2044589889
33	0.2039893635
34	0.2032840317
35	0.2025763204
36	0.2020989956
37	0.2008896741
38	0.2006553281
39	0.1998760299
40	0.1991291456
41	0.1984992789
42	0.1980415348
43	0.1975998634
44	0.1971964876
45	0.1966695654
46	0.1961909499
47	0.1957536891
48	0.1954542138
49	0.1950114007
50	0.1944593587
51	0.1943063741
52	0.1941926954
53	0.1938897715
54	0.193660934
55	0.1932539792
56	0.1929201261
57	0.1927136952
58	0.1923613741
59	0.1922006958
60	0.1918392358
61	0.1915252971
62	0.1913555039
63	0.1908094602
64	0.1905532631
65	0.1901278638
66	0.1897444953
67	0.1895922332
68	0.1893160708
69	0.1891704638
70	0.1889452512
71	0.1886863354
72	0.188423755
73	0.1882001249
74	0.1880862163
75	0.1877020801
76	0.1873225806
77	0.1870537381
78	0.1869269557
79	0.1868434465
80	0.1867036217
81	0.1863347149
82	0.1861169657
83	0.1859498372
84	0.1858953978
85	0.1856592637
86	0.1854376319
87	0.1853111579
88	0.1850674524
89	0.1849658232
90	0.184665235
91	0.1844155444
92	0.1843099624
93	0.1841686563
94	0.1840327577
95	0.1839449134
96	0.1838481507
97	0.1837719748
98	0.1836112551
99	0.1834049282
100	0.1833833891
101	0.1832110033
102	0.1831113753
103	0.1827704979
104	0.1825001339
105	0.1823426193
106	0.1822224032
107	0.1820527835
108	0.1819209092
109	0.1818011575
110	0.1817466722
111	0.1816565987
112	0.1814126957
113	0.1811564878
114	0.1810149545
115	0.1808884215
116	0.1807889273
117	0.1806909521
118	0.1805386312
119	0.1804672881
120	0.1803223006
121	0.1801602356
122	0.180001208
123	0.1798201234
124	0.179717348
125	0.1795167856
126	0.1792898382
127	0.1792143829
128	0.1790497468
129	0.1788617018
130	0.1786694233
131	0.178383639
132	0.1782365914
133	0.1781072273
134	0.1779746881
135	0.1778789909
136	0.1778424697
137	0.1777316604
138	0.1775857523
139	0.1774378376
140	0.1773618429
141	0.1772440692
142	0.1771687598
143	0.1769497494
144	0.1767504323
145	0.1765564619
146	0.1764999304
147	0.176421356
148	0.1763233279
149	0.1762734733
150	0.1760950648
151	0.1760178871
152	0.1759460763
153	0.1757893352
154	0.1756754642
155	0.1755388699
156	0.1754394178
157	0.1753640254
158	0.1752508073
159	0.1751332899
160	0.1749235594
161	0.1746790305
162	0.1745563919
163	0.1744114828
164	0.1742967655
165	0.1742654997
166	0.1742439447
167	0.1741779872
168	0.1740222762
169	0.1738130544
170	0.1736461907
171	0.1735097434
172	0.1734217163
173	0.1733612806
174	0.1732441549
175	0.1731167788
176	0.173057655
177	0.1729702934
178	0.1728227742
179	0.1726868948
180	0.1725696511
181	0.17243797
182	0.1723796448
183	0.1723294794
184	0.1722184181
185	0.1721009184
186	0.1719821276
187	0.1717548986
188	0.1716936385
189	0.1715415735
190	0.1715073984
191	0.1714331922
192	0.1713936477
193	0.1713329327
194	0.1712995806
195	0.1711124424
196	0.1710396748
197	0.1709634446
198	0.1708252386
199	0.1707355445
200	0.1706367012
201	0.1705875791
202	0.1705023092
203	0.1704783817
204	0.1703437436
205	0.1701628993
206	0.1701108922
207	0.1700358427
208	0.1699867036
209	0.1698669582
210	0.1697697683
211	0.1696764619
212	0.1696535197
213	0.1696065173
214	0.1695445727
215	0.1695152869
216	0.1694380575
217	0.1693324335
218	0.1692335603
219	0.1691928848
220	0.1690966393
221	0.1690090949
222	0.1689172173
223	0.1688154592
224	0.168785809
225	0.1687067264
226	0.168606166
227	0.1685567185
228	0.1685144442
229	0.168423317
230	0.1682578872
231	0.1681909936
232	0.168099578
233	0.1679812584
234	0.1679414279
235	0.1678754793
236	0.1677541256
237	0.1676309205
238	0.1675550137
239	0.1675189928
240	0.1674594108
241	0.1674235919
242	0.1673871388
243	0.167356819
244	0.167293324
245	0.1672656141
246	0.1671683216
247	0.1671242512
248	0.167038119
249	0.1669474897
250	0.1668966766
251	0.1668021401
252	0.1667594239
253	0.1666876538
254	0.1666234713
255	0.1665633089
256	0.1664846431
257	0.1663510037
258	0.1662014552
259	0.1661015081
260	0.1660546259
261	0.1660137042
262	0.1659396126
263	0.1658940959
264	0.1658574833
265	0.1657885098
266	0.1657367406
267	0.1656602654
268	0.1656096288
269	0.1655568335
270	0.1655282925
271	0.1653065887
272	0.1652248039
273	0.1651690565
274	0.1651009908
275	0.1650281356
276	0.1650018271
277	0.1649490749
278	0.164922375
279	0.1648917864
280	0.1648655959
281	0.1648339032
282	0.1647668031
283	0.1646187261
284	0.1645424368
285	0.1645096401
286	0.1644455749
287	0.1643245116
288	0.1642897736
289	0.164263305
290	0.1642009195
291	0.164165277
292	0.164060236
293	0.1639825948
294	0.1639796005
295	0.1638645052
296	0.163735446
297	0.1637146749
298	0.1636419253
299	0.1635892101
300	0.163493197
301	0.1634087533
302	0.1633157266
303	0.1632144417
304	0.1631988375
305	0.1631162528
306	0.1630917665
307	0.1630848075
308	0.1630194519
309	0.1629777619
310	0.1629754517
311	0.1629180836
312	0.1629065079
313	0.1628273978
314	0.1627623579
315	0.1626782615
316	0.16258793
317	0.1625541645
318	0.1625282059
319	0.1624568894
320	0.1623850798
321	0.162282259
322	0.1622597913
323	0.1621834192
324	0.162152471
325	0.1621057246
326	0.1620400505
327	0.1619946072
328	0.1619253783
329	0.1618252957
330	0.1617825187
331	0.1617392573
332	0.1617094078
333	0.1616617411
334	0.1616125329
335	0.1615229265
336	0.1614704738
337	0.1613852753
338	0.1613678652
339	0.1613299982
340	0.1613246804
341	0.1613228027
342	0.1612440384
343	0.161216224
344	0.161186711
345	0.161148075
346	0.161093715
347	0.1610196451
348	0.1608863424
349	0.1608510511
350	0.1608184594
351	0.1607277766
352	0.1606790183
353	0.1606674424
354	0.1606478911
355	0.1606187724
356	0.1606052389
357	0.1605652208
358	0.1605115345
359	0.1604444913
360	0.1604246112
361	0.1604054278
362	0.1603552442
