iter	Passed	Remaining
0	19	19606
1	36	18381
2	54	18102
3	73	18209
4	92	18370
5	110	18314
6	131	18610
7	151	18833
8	170	18813
9	187	18582
10	206	18562
11	225	18604
12	242	18436
13	260	18346
14	277	18192
15	293	18051
16	310	17954
17	327	17843
18	343	17749
19	359	17639
20	378	17626
21	396	17646
22	417	17714
23	435	17726
24	454	17707
25	471	17675
26	491	17695
27	508	17664
28	526	17631
29	544	17607
30	563	17616
31	586	17734
32	610	17883
33	630	17922
34	651	17954
35	669	17937
36	686	17870
37	704	17839
38	721	17768
39	738	17719
40	757	17708
41	774	17662
42	791	17610
43	808	17570
44	826	17534
45	842	17468
46	859	17428
47	875	17370
48	891	17305
49	907	17240
50	925	17215
51	941	17172
52	957	17117
53	974	17076
54	992	17056
55	1009	17019
56	1026	16987
57	1042	16938
58	1060	16910
59	1077	16873
60	1094	16854
61	1112	16830
62	1128	16784
63	1146	16764
64	1164	16754
65	1182	16731
66	1199	16701
67	1215	16658
68	1232	16624
69	1248	16592
70	1266	16569
71	1282	16535
72	1299	16498
73	1315	16456
74	1330	16414
75	1348	16394
76	1364	16350
77	1381	16325
78	1397	16287
79	1414	16265
80	1432	16250
81	1451	16245
82	1467	16215
83	1484	16189
84	1500	16153
85	1518	16133
86	1537	16135
87	1555	16122
88	1573	16102
89	1589	16070
90	1607	16053
91	1624	16036
92	1641	16006
93	1659	15995
94	1678	15990
95	1696	15977
96	1715	15966
97	1732	15950
98	1750	15933
99	1767	15903
100	1782	15863
101	1799	15842
102	1815	15813
103	1832	15784
104	1850	15769
105	1868	15758
106	1884	15728
107	1901	15701
108	1918	15683
109	1935	15661
110	1952	15634
111	1968	15606
112	1986	15591
113	2003	15572
114	2020	15546
115	2037	15526
116	2054	15509
117	2071	15486
118	2090	15474
119	2108	15461
120	2127	15453
121	2146	15445
122	2166	15446
123	2185	15438
124	2220	15543
125	2239	15531
126	2256	15508
127	2272	15478
128	2289	15457
129	2307	15442
130	2324	15417
131	2341	15397
132	2358	15375
133	2375	15355
134	2392	15331
135	2409	15307
136	2426	15283
137	2442	15253
138	2458	15227
139	2475	15206
140	2491	15179
141	2507	15150
142	2525	15134
143	2542	15113
144	2559	15093
145	2578	15080
146	2596	15065
147	2613	15045
148	2631	15032
149	2649	15011
150	2666	14994
151	2684	14976
152	2703	14967
153	2723	14961
154	2743	14958
155	2766	14967
156	2788	14972
157	2806	14957
158	2825	14945
159	2842	14922
160	2859	14903
161	2877	14886
162	2895	14867
163	2913	14852
164	2930	14829
165	2945	14799
166	2962	14775
167	2979	14756
168	2997	14738
169	3014	14715
170	3031	14698
171	3049	14682
172	3065	14655
173	3082	14631
174	3099	14611
175	3116	14593
176	3133	14569
177	3151	14554
178	3169	14535
179	3185	14512
180	3204	14498
181	3223	14486
182	3240	14467
183	3257	14444
184	3273	14422
185	3291	14403
186	3309	14389
187	3328	14375
188	3345	14354
189	3362	14334
190	3379	14313
191	3396	14293
192	3412	14267
193	3429	14248
194	3444	14220
195	3460	14196
196	3477	14173
